label,processors,tasks,workers,runs,seed,best_score,avg_score,elapsed_seconds
dataset_P20_T2000,20,2000,1,11,400001,1012009,1.01201e+06,0.623126
dataset_P20_T2000,20,2000,2,11,400002,1011181,1.01118e+06,0.78899
dataset_P20_T2000,20,2000,3,11,400003,1011078,1.01108e+06,1.06771
dataset_P20_T2000,20,2000,4,11,400004,1011193,1.01119e+06,1.10144
dataset_P20_T2000,20,2000,5,11,400005,1010900,1.0109e+06,1.03945
dataset_P20_T2000,20,2000,6,11,400006,1011119,1.01112e+06,0.953037
dataset_P20_T2000,20,2000,7,11,400007,1010947,1.01095e+06,1.17524
dataset_P20_T2000,20,2000,8,11,400008,1010932,1.01093e+06,1.25453
dataset_P20_T2000,20,2000,9,11,400009,1011134,1.01113e+06,1.14374
dataset_P20_T2000,20,2000,10,11,400010,1010866,1.01087e+06,1.06202
dataset_P20_T2000,20,2000,11,11,400011,1010948,1.01095e+06,1.33471
dataset_P20_T2000,20,2000,12,11,400012,1011010,1.01101e+06,1.21549
dataset_P20_T2000,20,2000,13,11,400013,1010951,1.01095e+06,1.39852
dataset_P20_T2000,20,2000,14,11,400014,1010893,1.01089e+06,1.60409
dataset_P20_T2000,20,2000,15,11,400015,1011053,1.01105e+06,1.35629
dataset_P20_T2000,20,2000,16,11,400016,1010997,1.011e+06,1.66248
dataset_P20_T2000,20,2000,17,11,400017,1010798,1.0108e+06,1.67744
dataset_P20_T2000,20,2000,18,11,400018,1010905,1.01090e+06,1.73611
dataset_P20_T2000,20,2000,19,11,400019,1010809,1.01081e+06,1.94233
dataset_P20_T2000,20,2000,20,11,400020,1010843,1.01084e+06,2.00565
