label,processors,tasks,workers,runs,seed,best_score,avg_score,elapsed_seconds
dataset_P10_T100,10,100,1,5,300000,6784,6794.8,0.400808
dataset_P10_T1000,10,1000,1,5,300001,636955,637095,0.617864
dataset_P10_T1100,10,1100,1,5,300002,778899,779110,0.756026
dataset_P10_T1200,10,1200,1,5,300003,907929,908106,0.713374
dataset_P10_T1300,10,1300,1,5,300004,1071758,1.07192e+06,0.783432
dataset_P10_T1400,10,1400,1,5,300005,1240038,1.24036e+06,0.770934
dataset_P10_T1500,10,1500,1,5,300006,1398727,1.39894e+06,0.830216
dataset_P10_T1600,10,1600,1,5,300007,1626142,1.62649e+06,0.824137
dataset_P10_T1700,10,1700,1,5,300008,1808064,1.80879e+06,0.901723
dataset_P10_T1800,10,1800,1,5,300009,2041131,2.04178e+06,0.88453
dataset_P10_T1900,10,1900,1,5,300010,2266306,2.2665e+06,0.971612
dataset_P10_T200,10,200,1,5,300011,26425,26455.2,0.442777
dataset_P10_T2000,10,2000,1,5,300012,2521256,2.52159e+06,1.04051
dataset_P10_T300,10,300,1,5,300013,57871,57890.2,0.388936
dataset_P10_T400,10,400,1,5,300014,103397,103446,0.361799
dataset_P10_T500,10,500,1,5,300015,161123,161236,0.549065
dataset_P10_T600,10,600,1,5,300016,230157,230327,0.492366
dataset_P10_T700,10,700,1,5,300017,309435,309559,0.597684
dataset_P10_T800,10,800,1,5,300018,397467,397664,0.671982
dataset_P10_T900,10,900,1,5,300019,506886,506935,0.775672
dataset_P12_T100,12,100,1,5,300020,5996,6004.4,0.264255
dataset_P12_T1000,12,1000,1,5,300021,517964,517986,0.5393
dataset_P12_T1100,12,1100,1,5,300022,633566,633920,0.625409
dataset_P12_T1200,12,1200,1,5,300023,749511,749936,0.680239
dataset_P12_T1300,12,1300,1,5,300024,897014,897299,0.745358
dataset_P12_T1400,12,1400,1,5,300025,1024561,1.02464e+06,0.66315
dataset_P12_T1500,12,1500,1,5,300026,1176973,1.17734e+06,0.868657
dataset_P12_T1600,12,1600,1,5,300027,1326130,1.32615e+06,0.721304
dataset_P12_T1700,12,1700,1,5,300028,1505108,1.50528e+06,1.0203
dataset_P12_T1800,12,1800,1,5,300029,1702095,1.70214e+06,0.849213
dataset_P12_T1900,12,1900,1,5,300030,1907105,1.90741e+06,0.771622
dataset_P12_T200,12,200,1,5,300031,22115,22200,0.388321
dataset_P12_T2000,12,2000,1,5,300032,2067492,2.06828e+06,0.970638
dataset_P12_T300,12,300,1,5,300033,48553,48589,0.392704
dataset_P12_T400,12,400,1,5,300034,86183,86213,0.359322
dataset_P12_T500,12,500,1,5,300035,133627,133679,0.360354
dataset_P12_T600,12,600,1,5,300036,194800,194800,0.561034
dataset_P12_T700,12,700,1,5,300037,256415,256525,0.446204
dataset_P12_T800,12,800,1,5,300038,343964,344065,0.454294
dataset_P12_T900,12,900,1,5,300039,438141,438381,0.654426
dataset_P14_T100,14,100,1,5,300040,5273,5273,0.239203
dataset_P14_T1000,14,1000,1,5,300041,450596,450932,0.694453
dataset_P14_T1100,14,1100,1,5,300042,560494,561018,0.718058
dataset_P14_T1200,14,1200,1,5,300043,637461,637774,0.778127
dataset_P14_T1300,14,1300,1,5,300044,752061,752386,0.646475
dataset_P14_T1400,14,1400,1,5,300045,871759,871822,0.837114
dataset_P14_T1500,14,1500,1,5,300046,1013903,1.01431e+06,0.660413
dataset_P14_T1600,14,1600,1,5,300047,1158562,1.15983e+06,0.806373
dataset_P14_T1700,14,1700,1,5,300048,1319639,1.31979e+06,1.01181
dataset_P14_T1800,14,1800,1,5,300049,1460635,1.46112e+06,0.880791
dataset_P14_T1900,14,1900,1,5,300050,1600281,1.60052e+06,0.810721
dataset_P14_T200,14,200,1,5,300051,18585,18605.4,0.262454
dataset_P14_T2000,14,2000,1,5,300052,1786404,1.78648e+06,0.748766
dataset_P14_T300,14,300,1,5,300053,42211,42327.4,0.351102
dataset_P14_T400,14,400,1,5,300054,73172,73205.4,0.295697
dataset_P14_T500,14,500,1,5,300055,112228,112271,0.298234
dataset_P14_T600,14,600,1,5,300056,163023,163142,0.47734
dataset_P14_T700,14,700,1,5,300057,222257,222327,0.419005
dataset_P14_T800,14,800,1,5,300058,296601,296901,0.478656
dataset_P14_T900,14,900,1,5,300059,361340,361598,0.491867
dataset_P16_T100,16,100,1,5,300060,4549,4549,0.225076
dataset_P16_T1000,16,1000,1,5,300061,388261,388472,0.502725
dataset_P16_T1100,16,1100,1,5,300062,473033,473588,0.541146
dataset_P16_T1200,16,1200,1,5,300063,569604,569727,0.572991
dataset_P16_T1300,16,1300,1,5,300064,657593,657718,0.737034
dataset_P16_T1400,16,1400,1,5,300065,792337,792564,0.814249
dataset_P16_T1500,16,1500,1,5,300066,902742,903157,0.625227
dataset_P16_T1600,16,1600,1,5,300067,1019251,1.01945e+06,0.631454
dataset_P16_T1700,16,1700,1,5,300068,1119298,1.11953e+06,0.813938
dataset_P16_T1800,16,1800,1,5,300069,1286170,1.2865e+06,0.75592
dataset_P16_T1900,16,1900,1,5,300070,1405306,1.40554e+06,0.7189
dataset_P16_T200,16,200,1,5,300071,16374,16394.4,0.264682
dataset_P16_T2000,16,2000,1,5,300072,1564604,1.56566e+06,0.740917
dataset_P16_T300,16,300,1,5,300073,35806,35806,0.329974
dataset_P16_T400,16,400,1,5,300074,63201,63232.6,0.363689
dataset_P16_T500,16,500,1,5,300075,102265,102328,0.300746
dataset_P16_T600,16,600,1,5,300076,142727,142762,0.359708
dataset_P16_T700,16,700,1,5,300077,195369,195525,0.404157
dataset_P16_T800,16,800,1,5,300078,260914,261060,0.459379
