label,processors,tasks,workers,runs,seed,best_score,avg_score,elapsed_seconds
dataset_P20_T2000,20,2000,1,10,400001,1257697,1.25829e+06,0.875725
dataset_P20_T2000,20,2000,2,10,400002,1256297,1.25747e+06,0.844259
dataset_P20_T2000,20,2000,3,10,400003,1256495,1.25743e+06,0.809157
dataset_P20_T2000,20,2000,4,10,400004,1255494,1.25701e+06,0.989146
dataset_P20_T2000,20,2000,5,10,400005,1255861,1.25719e+06,0.803293
dataset_P20_T2000,20,2000,6,10,400006,1255073,1.25598e+06,0.840361
dataset_P20_T2000,20,2000,7,10,400007,1253626,1.25553e+06,0.876062
dataset_P20_T2000,20,2000,8,10,400008,1255055,1.25656e+06,0.960672
dataset_P20_T2000,20,2000,9,10,400009,1255513,1.25699e+06,1.08186
dataset_P20_T2000,20,2000,10,10,400010,1253760,1.25576e+06,1.05663
dataset_P20_T2000,20,2000,11,10,400011,1253523,1.25565e+06,1.0517
dataset_P20_T2000,20,2000,12,10,400012,1255113,1.2563e+06,1.15012
dataset_P20_T2000,20,2000,13,10,400013,1254049,1.25551e+06,1.22341
dataset_P20_T2000,20,2000,14,10,400014,1254024,1.25557e+06,1.28816
dataset_P20_T2000,20,2000,15,10,400015,1253343,1.25508e+06,1.34645
dataset_P20_T2000,20,2000,16,10,400016,1255013,1.25632e+06,1.50604
dataset_P20_T2000,20,2000,17,10,400017,1254371,1.25583e+06,1.58346
dataset_P20_T2000,20,2000,18,10,400018,1252962,1.25529e+06,1.80358
dataset_P20_T2000,20,2000,19,10,400019,1254329,1.25568e+06,1.74321
dataset_P20_T2000,20,2000,20,10,400020,1253619,1.25525e+06,1.84698
